engineering_scenes,dataset_name,official_download_entry,scale_and_content_summary,unique_id,sub_scenes,defect_or_target_types,relevance,relevance_basis,source_type,location,publishers_or_authors,data_forms,file_formats,sample_counts,file_size,file_size_scope,label_types,original_labels,antenna_and_equipment,temporal_sampling,spatial_and_survey_parameters,ascan_multirelational_graph_suitability,open_status,page_verification,file_list_verification,sample_download_status,license,redistribution_restrictions,doi,official_data_page,stable_file_urls,file_url_validation,paper_urls,paper_title,official_code_urls,parent_dataset,overlap_relationship,independent_count_status,verified_date,evidence,limitations
"[""桥梁及桥面板""]",SDNET2021: Annotated NDE Dataset for Structural Defects,https://commons.und.edu/data/19/,"5 座在役桥面板；官方称超过 663,102 条已标注 GPR 信号，另含 IE、IRT；GPR 文件包单独列出。",GPR001,"[""混凝土桥面板脱层""]","[""delamination"",""cracks"",""rebar corrosion""]",A,机构数据页明确给出桥面板脱层真值与 GPR 标注。,现场实测,美国北达科他州 Grand Forks；2020 年夏季,"[""Eberichi Ichi"",""Sattar Dorafshan"",""University of North Dakota""]","[""GPR 信号"",""B-scan"",""真值图"",""测点位置"",""IE 与 IRT 辅助数据""]","[""CSV"",""LVM"",""DWG"",""DOCX"",""PDF"",""JPEG"",""PNG"",""ZIP""]","[{""value"":""超过 663102"",""unit"":""GPR 信号"",""scope"":""官方用语 signals；未逐文件确认其与原始 A-scan 的一一对应""},{""value"":5,""unit"":""桥面板"",""scope"":""同一数据集""},{""value"":1936,""unit"":""IE 信号"",""scope"":""非 GPR，不计入 GPR 样本量""},{""value"":5,""unit"":""IRT 拼接图"",""scope"":""非 GPR""}]",1941395 kB,官方 4. GPR DATA.zip 文件显示值；不包含真值、测点、IE、IRT 和旧版本,"[""分类"",""位置／深度类别"",""真值图""]","[""Class 1: No Delamination"",""Class 2: delamination above top bar mat"",""Class 3: delamination below top bar mat""]",未披露,未披露,页面说明真值图含 GPS 坐标及各移除等级范围；另有 IE AND GPR TEST POINTS.zip；逐信号坐标映射待核验。,优先候选：有信号级标注和测点／GPS 真值资源。需核实信号矩阵、时间轴、测线顺序及坐标映射后，才能在同一组 A-scan 节点上构建两种关系。,公开下载,已核验：已读取官方正文,已核验：官方文件列表；未验证文件传输,未执行,未明确,未明确，不能默认允许再分发,10.31356/data019,https://commons.und.edu/data/19/,"[""https://commons.und.edu/cgi/viewcontent.cgi?filename=4&article=1018&context=data&type=additional"",""https://commons.und.edu/cgi/viewcontent.cgi?filename=0&article=1018&context=data&type=additional""]",仅核验官方页面给出的地址；未验证文件传输或长期可用性,"[""https://doi.org/10.3390/infrastructures7090107""]",未披露,"[""https://github.com/ahmed-elseicy/bridge-deck-delamination""]",[],未见来源声明的派生关系；未做跨库文件哈希或采集批次比对,计入：一手发布的独立来源,2026-09-19,"[{""source_url"":""https://commons.und.edu/data/19/"",""checked_date"":""2026-09-19"",""summary"":""正文：over 663,102 annotated GPR signals；five in-service bridge decks；Class 1/2/3。文件列表：4. GPR DATA.zip (1941395 kB)。2021 旧版被 2022 修订版取代。""},{""source_url"":""https://github.com/ahmed-elseicy/bridge-deck-delamination/blob/master/README.md"",""checked_date"":""2026-09-19"",""summary"":""作者处理代码明确引用 SDNET2021；格式转换与模型权重不形成新数据来源。""},{""source_url"":""https://zenodo.org/records/14607117"",""checked_date"":""2026-09-19"",""summary"":""Resource type: Software；Requires 10.31356/data019。19.4 MB 是软件归档，不是新的 GPR 数据集。""}]","[""文件格式列表来自整个多模态发布，不能将每种格式都断言为 GPR 原始格式。"",""天线、时间采样、信号总数的文件级复核未完成。"",""旧版本、转换代码和 Zenodo 软件存档均不另计。""]"
"[""多场景"",""隧道及地下衬砌"",""管线周边"",""混凝土构件""]",GPR DATASET,https://zenodo.org/records/14637589,广州大学团队实测原始 .dt 数据；3 座具名隧道、广州大学城管线及佛山钢筋；压缩包 3.8 GB。,GPR002,"[""隧道扫描"",""普通管线探测（非已确认管周脱空）"",""钢筋探测""]","[""tunnel lining"",""underground pipelines"",""rebar""]",C,页面将 cavities/defects 列为潜在用途及关联论文主题，但没有确认发布包中的空洞样本与真值；保守列为 C，不能据论文主题升为 A。,现场实测,中国：梁家营、平顶山、牛建子隧道；广州大学城；佛山住宅区,"[""GPR Group of Guangzhou University"",""Hai Liu 团队""]","[""原始 GPR 波形""]","[""IDS GeoRadar .dt"",""ZIP""]","[{""value"":3,""unit"":""具名隧道"",""scope"":""非数据集数；另有管线和钢筋采集地""},{""value"":""未披露"",""unit"":""A-scan／测线"",""scope"":""无可核验总量""}]",3.8 GB,Data Set.zip 官方文件列表，未解压统计,"[""未披露""]","[""未披露""]",IDS GeoRadar 文件格式；商业 GPR、多频率，具体频率和型号未披露,未披露,GD/YBQ/YG/YGJ/ZBQ/ZGJ 文件夹表示隧道部位；具体测线坐标及道间距待核验。,有原始 .dt，适合先做幅值矩阵读取可行性检查；时间头、空间步长和缺陷标签未核验，暂不能作为监督脱空图学习数据。,公开下载,已核验：已读取官方正文,已核验：官方文件列表；未验证文件传输,未执行,CC BY 4.0,遵守署名及 CC BY 4.0 条款；本目录不再分发原始数据,10.5281/zenodo.14637589,https://zenodo.org/records/14637589,"[""https://zenodo.org/records/14637589/files/Data%20Set.zip?download=1""]",仅核验官方页面给出的地址；未验证文件传输或长期可用性,[],页面列出 rebar detection、antenna evaluation、reverse-time migration 等论文；论文 URL 未逐一核验,[],[],未见来源声明的派生关系；未做跨库文件哈希或采集批次比对,计入：一手发布的独立来源,2026-09-19,"[{""source_url"":""https://zenodo.org/records/14637589"",""checked_date"":""2026-09-19"",""summary"":""广州大学团队实测原始 .dt 数据；3 座具名隧道、广州大学城管线及佛山钢筋；压缩包 3.8 GB。""}]","[""多场景仅计一次。"",""关联空洞论文不证明发布包含可定位的空洞标签。"",""原始幅值标定、滤波历史、采样头和全部文件尚未验证。""]"
"[""隧道及地下衬砌""]",Data on point cloud scanning and ground radar of composite lining in jointly constructed tunnel,https://data.mendeley.com/datasets/c9mmbmkwcj/2,回填脱空相关隧道资料：Radagrams.docx 50.9 MB，另有点云 ZIP 865 MB、轴线 XLSX 10 KB；页面总包 916 MB。,GPR003,"[""盾构管片外回填质量""]","[""voids in outside backfill""]",A,正文明确支持 Numerical evaluation of segmental tunnel lining with voids in outside backfill，并说明 GPR 检测管片外回填质量。,现场实测,未披露,"[""Jia-Xuan Zhang"",""Ning Zhang"",""Ye-Shuang Xu"",""Shantou University"",""Shanghai Jiao Tong University""]","[""雷达图文档"",""TLS 点云（非 GPR 3D 波场）"",""轴线表""]","[""DOCX"",""ZIP"",""XLSX""]","[{""value"":3,""unit"":""顶层文件"",""scope"":""不能当作三条测线或三个雷达样本""},{""value"":""未披露"",""unit"":""GPR 雷达图／测线"",""scope"":""文档内部未核验""}]",Radagrams.docx: 50.9 MB；Point cloud.zip: 865 MB；Central axis.xlsx: 10 KB；Download All: 916 MB,页面显示值；总包包含大量非 GPR 点云，不能写成 916 MB 原始雷达数据,"[""未披露""]","[""未披露""]",未披露,未披露,提供 Central axis.xlsx，但与每道 GPR 的映射关系未披露。,未证明适合原始 A-scan：文件列表只确认雷达图 DOCX，点云和轴线不能替代原始电磁信号；文档图像通常不能恢复幅值和完整采样信息。,公开下载,已核验：已读取官方正文,已核验：官方文件列表；未验证文件传输,未执行,CC BY 4.0,遵守署名及 CC BY 4.0 条款,10.17632/c9mmbmkwcj.2,https://data.mendeley.com/datasets/c9mmbmkwcj/2,"[""https://data.mendeley.com/public-files/datasets/c9mmbmkwcj/files/32918de4-1b65-4107-b8b7-431dd945d840/file_downloaded""]",仅核验官方页面给出的地址；未验证文件传输或长期可用性,[],Numerical evaluation of segmental tunnel lining with voids in outside backfill,[],[],V1 与 V2 同一来源；仅记录 V2。,计入：一手发布的独立来源,2026-09-19,"[{""source_url"":""https://data.mendeley.com/datasets/c9mmbmkwcj/2"",""checked_date"":""2026-09-19"",""summary"":""回填脱空相关隧道资料：Radagrams.docx 50.9 MB，另有点云 ZIP 865 MB、轴线 XLSX 10 KB；页面总包 916 MB。""}]","[""未打开 50.9 MB 文档，不确认内部图数、缺陷标注或是否附有数值表。"",""采集地、频率与时间采样未披露。""]"
"[""地下空洞及岩土"",""管线周边""]",Intelligent recognition of subsurface utilities and voids: A Ground Penetrating Radar dataset for Deep Learning applications,https://data.mendeley.com/datasets/ww7fd9t325/1,"摩洛哥 2019–2024 实测图像；2,239 张处理／增强图：553 空洞、786 管线、900 完好；作者另列 79/131/75 个原始 profiles。",GPR004,"[""基础设施地下空洞"",""普通管线目标与完整区域""]","[""Cavity"",""Utility"",""intact""]",A,官方页面与作者项目明确包含 voids/cavities；管线类别并不等价于管周脱空。,现场实测,摩洛哥多个城市与基础设施项目，2019–2024,"[""Abdelaziz MOJAHID"",""Driss EL OUAI"",""Khalid EL AMRAOUI"",""Khalil EL HAMI"",""Hamou AITBENAMER"",""Universite Mohammed V de Rabat Institut Scientifique""]","[""B-scan 图片"",""检测标注；页面提及 A-scan 采集但原始波形发布未证实""]","[""RAR"",""JPG"",""YOLO TXT"",""VOC XML""]","[{""value"":2239,""unit"":""处理／增强图片"",""scope"":""作者目录分类 553+786+900；非原始 A-scan""},{""value"":79,""unit"":""原始空洞 profiles"",""scope"":""作者 README 称 original profiles；非已验证测线数""},{""value"":131,""unit"":""原始管线 profiles"",""scope"":""同上""},{""value"":75,""unit"":""原始完整 profiles"",""scope"":""同上""}]",GPR_data.rar: 48.1 MB；Download All: 47.3 MB,平台不同下载口径显示值；未用两者相加或推算解压体积,"[""分类"",""检测框""]","[""Utility"",""Cavity"",""intact""]",GSSI 400 MHz 与 200 MHz，测距轮模式；400 MHz 50 ns、200 MHz 150 ns；各 512 samples/scan。,作者给出时间窗与 512 samples/scan；精确 dt 及文件内时间轴未核验，不用窗长自行推算。,survey wheel 模式；道间距、绝对位置与源测线 ID 未披露。,适合图像检测候选；不默认适合原始 A-scan。必须另核实 RAR 内是否有数值波形与可追溯测线，不能把 PNG/JPG 列当作物理幅值节点。,公开下载,已核验：已读取官方正文,已核验：官方文件列表；未验证文件传输,未执行,CC BY 4.0,遵守署名及 CC BY 4.0 条款,10.17632/ww7fd9t325.1,https://data.mendeley.com/datasets/ww7fd9t325/1,"[""https://data.mendeley.com/public-files/datasets/ww7fd9t325/files/a7d95abe-e007-406f-a088-37a998591c64/file_downloaded""]",仅核验官方页面给出的地址；未验证文件传输或长期可用性,"[""https://www.sciencedirect.com/science/article/pii/S2352340925000708""]",未披露,"[""https://github.com/LCSkhalid/GPR_Data""]",[],LCSkhalid/GPR_Data 是同一数据的说明和处理代码；裁剪和增强均属于本来源，不另计。,计入：一手发布的独立来源,2026-09-19,"[{""source_url"":""https://data.mendeley.com/datasets/ww7fd9t325/1"",""checked_date"":""2026-09-19"",""summary"":""官方描述、RAR 文件列表和 CC BY 4.0 已读取。""},{""source_url"":""https://github.com/LCSkhalid/GPR_Data/blob/main/README.md"",""checked_date"":""2026-09-19"",""summary"":""明确列出 79/131/75 original profiles、553/786/900 augmented images；224×224 裁剪及增强流程；512 samples/scan、50/150 ns。""}]","[""README 对原始与增强文件夹的措辞存在混杂；以上计数保留作者口径，未解包逐项计数。"",""论文 URL 由搜索命中，全文及论文 DOI 未核验；不能将数据 DOI 误标为论文 DOI。""]"
"[""道路及路面""]",FDM-HHT-SR-dataset,https://data.mendeley.com/datasets/rfb2jv34mz/1,道路下含水与不含水空洞的全数据偏移处理前后数据；单个 ZIP 6.68 MB，内部样本数未披露。,GPR005,"[""路面下空洞""]","[""subsurface cavities"",""water-filled cavities"",""cavities without water filling""]",A,作者原文：Data before and after full-data migration for the detection of subsurface cavities beneath roadways (with and without water filling)。,未披露,未披露,"[""Houjiang Zhang""]","[""偏移处理前后数据；具体数值／图像形式待核验""]","[""ZIP；内部格式待核验""]","[{""value"":""未披露"",""unit"":""未披露"",""scope"":""未披露""}]",6.68 MB；Download All 6.65 MB,ZIP 文件显示值与平台打包显示值，非解压体积,"[""含水／不含水条件描述；逐样本标签待核验""]","[""未披露""]",未披露,未披露,未披露,潜在优先核验对象：声明含处理前数据，但没有证据确认时间轴、空间坐标或原始波形格式。偏移前后是同一来源，不能拆到训练与测试中。,公开下载,已核验：已读取官方正文,已核验：官方文件列表；未验证文件传输,未执行,CC BY 4.0,遵守署名及 CC BY 4.0 条款,10.17632/rfb2jv34mz.1,https://data.mendeley.com/datasets/rfb2jv34mz/1,"[""https://data.mendeley.com/public-files/datasets/rfb2jv34mz/files/ef9ec99e-dc5b-46d3-8383-2fc555fc6b94/file_downloaded""]",仅核验官方页面给出的地址；未验证文件传输或长期可用性,[],未披露,[],[],未见来源声明的派生关系；未做跨库文件哈希或采集批次比对,计入：一手发布的独立来源,2026-09-19,"[{""source_url"":""https://data.mendeley.com/datasets/rfb2jv34mz/1"",""checked_date"":""2026-09-19"",""summary"":""道路下含水与不含水空洞的全数据偏移处理前后数据；单个 ZIP 6.68 MB，内部样本数未披露。""}]","[""不能从标题和文件大小推断实测／仿真、样本量或标签质量。""]"
"[""其他""]",S&T Project 21045 Data: Void Detection Data,https://data.usbr.gov/catalog/8078/item/128829,水工结构空洞研究：Glendo、Denver Federal Center、Klamath Falls 附近 A Canal 三处实验；含 GPR、冲击响应、IE、红外。,GPR006,"[""水工渠道／溢洪道等结构背后空洞""]","[""voids behind hydraulic structures""]",A,Bureau of Reclamation 官方目录明确为 void detection portion，包含 ground penetrating radar。,现场实测,美国 Glendo、Denver Federal Center、A Canal near Klamath Falls,"[""Bureau of Reclamation"",""Reclamation Technical Service Center""]","[""GPR 实验数据（内部形式未核验）"",""其他无损检测模态""]","[""ZIP；内部格式未核验""]","[{""value"":3,""unit"":""具名实验地点／一级数据分组"",""scope"":""不代表三个独立数据集""},{""value"":""未披露"",""unit"":""GPR 信号／测线"",""scope"":""未打开 ZIP""}]",未披露,未披露,"[""未披露""]","[""未披露""]",未披露,未披露,未披露,跨水工场景的优先获取对象；需要解包 README 确认 GPR 幅值矩阵、位置、实验真值和采样参数，不能仅凭多模态说明判定可建图。,公开下载,已核验：已读取官方正文,已核验：机构数据项有 Download File，Data.gov 列出 ZIP 资源；ZIP 内部文件列表未核验,未执行,未明确,未明确，不能默认允许再分发,未披露,https://data.usbr.gov/catalog/8078/item/128829,"[""https://data.usbr.gov/rise/content-rise-public/rise/catalog-item/binary/Void%20Detection%20Data_0.zip""]",仅核验官方页面给出的地址；未验证文件传输或长期可用性,"[""https://data.usbr.gov/catalog/8078/item/128840""]","ST-21045-2024-02: Detection of Voids Behind Spillways, Conduits, Canals, Tunnels, and Siphons（报告入口）",[],[],未见来源声明的派生关系；未做跨库文件哈希或采集批次比对,计入：一手发布的独立来源,2026-09-19,"[{""source_url"":""https://data.usbr.gov/catalog/8078/item/128829"",""checked_date"":""2026-09-19"",""summary"":""机构正文和 Download File 按钮可见；列明三处实验、多种 NDE 模态及报告编号。""},{""source_url"":""https://catalog.data.gov/dataset/st-project-21045-data-void-detection-data"",""checked_date"":""2026-09-19"",""summary"":""美国政府聚合目录列出同一 RISE 项与 ZIP 地址；不与机构页面重复计数。""}]","[""实测属性依据在具名地点开展的实验；现场试验结构与室内控制部分是否混合仍需报告核实。"",""项目标题涵盖多种结构，不代表每一种都在 GPR 文件中实际存在。"",""公开政府目录不自动等于许可明确。""]"
"[""地下空洞及岩土""]",MERL Ground Penetrating Radar Dataset (MERL-GPR),https://zenodo.org/records/8145084,400 个二维地下介质模型，每个包含一个空气圆柱和另一个介质圆柱；发布 50 个频点的复数波场；ZIP 1.6 GB。,GPR007,"[""二维分层介质空气空洞模型""]","[""air cylinder"",""dielectric cylinder""]",A,一手描述明确给出地下介质中的 air cylinder（介电常数 1）；是理想化空洞模拟，不是现场空洞验证。,数值仿真,未披露,"[""Qingqing Zhao"",""Yanting Ma"",""Hassan Mansour"",""Petros Boufounos"",""Mitsubishi Electric Research Laboratories""]","[""复数频域波场"",""自由空间响应"",""源频谱系数"",""模型权重""]","[""HDF5 .h5"",""NPY"",""PTH"",""ZIP""]","[{""value"":400,""unit"":""二维介质模型"",""scope"":""不是 400 条 A-scan""},{""value"":50,""unit"":""频率点"",""scope"":""0.5–1.5 GHz 内；非独立样本""}]",ZIP 1.6 GB；描述称解压约 1.72 GB,包含波场、模型权重等；不能视为纯原始 GPR 信号体积,"[""物性参数"",""模拟几何""]","[""air cylinder permittivity=1"",""second cylinder permittivity U(3,10)""]",gprMax FDTD；1 GHz Ricker 源；源位于地表上方 0.1 m,发布频域数据：50 个频点、0.5–1.5 GHz；完整时域 dt 未披露。,0.5 m × 0.5 m 二维域，空气层 0.15 m；全计算域像素波场。网格坐标／测量阵列需读取文件进一步验证。,适合数值波场／物性反演研究；不能直接宣称是完整时域 A-scan。有限频带复数系数无法自动恢复原始全部采样；需另定义频域节点并解释与现场图构造的差异。,公开下载,已核验：已读取官方正文,已核验：ZIP 名称、大小、MD5 及在线内部目录；data_frequency.h5、data_frequency_freespace.h5、normalize_complex_coeff.npy 可见,未执行,CC BY-SA 4.0,署名、相同方式共享等依 CC BY-SA 4.0；注意数据与代码分别适用条款,10.5281/zenodo.8145084,https://zenodo.org/records/8145084,"[""https://zenodo.org/records/8145084/files/MERLGPR.zip?download=1""]",仅核验官方页面给出的地址；未验证文件传输或长期可用性,[],"Deep Born Operator Learning for Reflection Tomographic Imaging, ICASSP 2023","[""https://github.com/merlresearch/DeepBornFNO""]",[],未见来源声明的派生关系；未做跨库文件哈希或采集批次比对,计入：一手发布的独立来源,2026-09-19,"[{""source_url"":""https://zenodo.org/records/8145084"",""checked_date"":""2026-09-19"",""summary"":""400 个二维地下介质模型，每个包含一个空气圆柱和另一个介质圆柱；发布 50 个频点的复数波场；ZIP 1.6 GB。""}]","[""仿真中的空气圆柱只代表理想化空洞，不能替代工程脱空泛化证据。"",""未下载 HDF5 并读取维度；标签字段布局待核验。""]"
"[""混凝土构件""]",GPR dataset: pulsed radar and SFCW data for rebar detection (experimental data),https://zenodo.org/records/10962520,3 个实验试件，用于脉冲与步进频率雷达钢筋探测对比；两包共 3.7 MB。,GPR008,"[""钢筋检测与分辨率实验""]","[""rebar""]",C,只证实钢筋目标，未证实脱层或空洞；可作为钢筋干扰／迁移候选，属于研究判断。,实验室实测,未披露,"[""Mercedes Solla"",""Universidade de Vigo"",""Screening Eagle Tech.""]","[""脉冲雷达原始数据"",""SFCW 数据""]","[""RD3"",""RAD"",""ZIP；SFCW 内部格式未核验""]","[{""value"":3,""unit"":""实验试件"",""scope"":""一个校准、两个水平／垂直分辨率试件""},{""value"":""未披露"",""unit"":""A-scan"",""scope"":""不从文件数推算""}]",3.7 MB：Pulsed radar.zip 1.2 MB，SFCW.zip 2.5 MB,官方压缩文件显示值,"[""试件／钢筋尺寸条件；逐道标注未披露""]","[""未披露""]",SFCW 400–6000 MHz；脉冲 2.3 GHz 接地天线；钢筋直径 8–32 mm,有 .rad 头文件；具体时间窗和 dt 未读取核验。,三个试件分文件夹；测线步长未披露。,RD3+RAD 提供读取波形与采样头的可能，可用于钢筋背景表示研究；缺少已核验道位置信息，且不是脱空标签数据。,公开下载,已核验：已读取官方正文,已核验：两个 ZIP 文件及脉冲包在线目录；三个试件各可见 RAD/RD3,未执行,GNU GPL v3.0 or later（数据页标示）,遵守数据页 GPL-3.0-or-later；需要实际使用时核实其对数据文件的适用范围,10.5281/zenodo.10962520,https://zenodo.org/records/10962520,"[""https://zenodo.org/records/10962520/files/Pulsed%20radar.zip?download=1"",""https://zenodo.org/records/10962520/files/SFCW.zip?download=1""]",仅核验官方页面给出的地址；未验证文件传输或长期可用性,[],"Rebar detection: Comparison of stepped frequency continuous wave and pulsed GPR, SMAR 2024",[],[],未见来源声明的派生关系；未做跨库文件哈希或采集批次比对,计入：一手发布的独立来源,2026-09-19,"[{""source_url"":""https://zenodo.org/records/10962520"",""checked_date"":""2026-09-19"",""summary"":""3 个实验试件，用于脉冲与步进频率雷达钢筋探测对比；两包共 3.7 MB。""}]","[""不把无缺陷说明等同于经过真值验证的阴性样本。"",""SFCW 与脉冲采样体系不同，需分别读取和比较。""]"
"[""其他""]",MCG GPR dataset,https://zenodo.org/records/14270869,公开数据的随机裁剪与人工修订分割集合；340×720 PNG 图像和二值掩膜；ZIP 1.4 GB；派生条目不计独立数。,GPR009,"[""多来源通用 GPR 图像分割""]","[""background"",""foreground features""]",C,标签为前景／背景，不是空洞语义；其水文／海岸母来源与工程脱空距离较远，仅为初始线索纠错保留。,未披露,未披露,"[""Marcos Freire""]","[""仅图片"",""二值掩膜""]","[""PNG"",""ZIP""]","[{""value"":""未披露"",""unit"":""未披露"",""scope"":""未披露""}]",1.4 GB,MCG_GPR_dataset.zip；样本张数未披露,"[""分割掩膜""]","[""background"",""foreground features""]",未披露,未披露,未披露,不适合直接原始 A-scan 建模：随机裁剪、渲染与跨来源混合未保留可验证采样位置；可探索图像分割预训练，但效益尚未验证。,公开下载,已核验：已读取官方正文,已核验：官方文件列表；未验证文件传输,未执行,CC BY 4.0（派生发布页）,还需核对各母来源许可与衍生条款；发布页许可不能代替母数据许可审查,10.5281/zenodo.14270869,https://zenodo.org/records/14270869,"[""https://zenodo.org/records/14270869/files/MCG_GPR_dataset.zip?download=1""]",仅核验官方页面给出的地址；未验证文件传输或长期可用性,[],未披露,[],"[""https://doi.org/10.21253/DMU.8323049.v1"",""https://pubs.usgs.gov/ds/0982/ds982_data_downloads.html"",""https://doi.org/10.21227/ckx7-0s88"",""https://doi.org/10.3133/ds1006""]",作者明确由以上四个公开来源裁剪；不能与母数据跨训练／测试。母数据本次未全部独立核验。,不计入：已确认派生数据,2026-09-19,"[{""source_url"":""https://zenodo.org/records/14270869"",""checked_date"":""2026-09-19"",""summary"":""公开数据的随机裁剪与人工修订分割集合；340×720 PNG 图像和二值掩膜；ZIP 1.4 GB；派生条目不计独立数。""}]","[""未披露图片张数；未逐母来源确认实测／仿真属性，因此来源类型保留未披露。"",""不将二值前景掩膜映射为 void 掩膜。""]"
"[""地下空洞及岩土""]",Low-Frequency Ground Penetrating Radar (GPR) Dataset Acquired via Ground-Based and UAV Platforms,https://zenodo.org/records/18769571,3 个场地，地面推车与 UAV 同测线低频 GPR；原始 SEG-Y／GeoTable，三个站点 ZIP 及示意图片共 27.9 MB。,GPR010,"[""地面／无人机采集对比；未证实空洞标签""]","[""general subsurface features""]",C,正文未说明空洞或结构缺陷真值；仅可作为信号、定位与采集域迁移的辅助候选。,现场实测,意大利研究团队；三个场地的名称本次未确认,"[""Nicola Angelo Famiglietti"",""Diego Gragnaniello"",""Antonino Memmolo"",""Robert Migliazza"",""Pierluigi Ritrovato"",""Annamaria Vicari"",""INGV"",""Università degli Studi di Salerno""]","[""原始 A-scan"",""SEG-Y 头信息"",""GeoTable"",""示意图""]","[""SEG-Y"",""GeoTable"",""ZIP"",""PNG""]","[{""value"":3,""unit"":""调查场地"",""scope"":""同一发布，不分成三个独立数据集""},{""value"":""未披露"",""unit"":""A-scan／测线"",""scope"":""正文未给出总数""}]",27.9 MB（含示意图）；Site_1/2/3.zip 分别 12.4/3.6/5.2 MB,官方顶层文件列表显示值,"[""位置与采集元数据；缺陷标签未披露""]","[""未披露""]",Cobra Plug-in Sub-Echo 70，20–140 MHz；DJI Matrice 600 Pro；GNSS RTK、UgCS 5.9／SkyHub,正文声明 GeoTable/SEG-Y 含采集参数及时间戳；具体 dt 未读文件核验。,地面与空中复测相同测线；厘米级 RTK 定位，迹与空间位置同步；飞行高度约 1 m，速度约 1 m/s。,辅助原始信号建图候选：明确波形、头信息和定位；需验证逐道几何及两种采集模态对齐，不提供已验证脱空监督。,公开下载,已核验：已读取官方正文,已核验：官方文件列表；未验证文件传输,未执行,CC BY 4.0,遵守署名及 CC BY 4.0 条款,10.5281/zenodo.18769571,https://zenodo.org/records/18769571,"[""https://zenodo.org/records/18769571/files/Site_1.zip?download=1"",""https://zenodo.org/records/18769571/files/Site_2.zip?download=1"",""https://zenodo.org/records/18769571/files/Site_3.zip?download=1""]",仅核验官方页面给出的地址；未验证文件传输或长期可用性,[],未披露,"[""https://github.com/dgragnaniello/AI4DITE_GPR_data""]",[],未见来源声明的派生关系；未做跨库文件哈希或采集批次比对,计入：一手发布的独立来源,2026-09-19,"[{""source_url"":""https://zenodo.org/records/18769571"",""checked_date"":""2026-09-19"",""summary"":""3 个场地，地面推车与 UAV 同测线低频 GPR；原始 SEG-Y／GeoTable，三个站点 ZIP 及示意图片共 27.9 MB。""}]","[""应在完整场地层面划分，不能把同场地空中／地面信号未经检查分入训练与测试。"",""subsoil risk assessment 项目用途不能证明数据实际含空洞。""]"
